financial_institution_name,count
"TODESCREDI S/A - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",3
"BECKER FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",3
UBS (conglomerado),3
ACESSO SOLUÇÕES DE PAGAMENTO S.A.,3
VR (conglomerado),3
BBC (conglomerado),3
BANCO RIBEIRAO PRETO S.A.,3
ASAAS GESTÃO FINANCEIRA INSTITUIÇÃO DE PAGAMENTO S.A.,3
"BRK S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO",3
HUB INSTITUIÇÃO DE PAGAMENTO S.A.,2
BANCO TRICURY S.A.,2
SOCIAL BANK INSTITUIÇÃO DE PAGAMENTO S.A,2
SUMUP (conglomerado),2
PINBANK BRASIL INSTITUIÇÃO DE PAGAMENTO S.A.,2
PAGUEVELOZ INSTITUIÇÃO DE PAGAMENTO LTDA.,2
WILL (conglomerado),2
HUB PAGAMENTOS S.A,2
CRED-SYSTEM (conglomerado),2
CIELO S.A.,2
CAIXA GERAL (conglomerado),2
AME DIGITAL BRASIL INSTITUICAO DE PAGAMENTO LTDA,2
"CENTROCRED S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTOS",2
"RPW S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO",2
SCANIA (conglomerado),2
CREDSYSTEM (conglomerado),2
COOPER CARD INSTITUIÇÃO DE PAGAMENTO LTDA.,2
BPP INSTITUIÇÃO DE PAGAMENTO S.A.,2
"TENTOS S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO",2
BANCO DE LA NACION ARGENTINA,2
ICBC DO BRASIL BANCO MÚLTIPLO S.A.,2
BANCO SUMITOMO MITSUI BRASILEIRO S.A.,2
SINOSSERRA (conglomerado),2
FITBANK PAGAMENTOS ELETRONICOS S.A.,2
BANCO RNX S.A.,2
FORTBRASIL ADMINISTRADORA DE CARTOES DE CREDITO S/A,2
GRANITO INSTITUIÇÃO DE PAGAMENTO S.A.,2
FORTBRASIL INSTITUIÇÃO DE PAGAMENTO S/A,2
EWALLY INSTITUIÇÃO DE PAGAMENTO S.A.,2
FLAGSHIP INSTITUICAO DE PAGAMENTOS LTDA,2
DOCK INSTITUIÇÃO DE PAGAMENTO S.A.,2
CIELO S.A. - INSTITUIÇÃO DE PAGAMENTO,2
SHPP BRASIL INSTITUIÇÃO DE PAGAMENTO E SERVIÇOS DE PAGAMENTOS LTDA.,2
BANCOOB (conglomerado),1
PAN (conglomerado),1
MÁXIMA (conglomerado),1
INDUSVAL (conglomerado),1
DEUTSCHE BANK S.A. - BANCO ALEMAO,1
BTG PACTUAL (conglomerado),1
BNY MELLON (conglomerado),1
BANCO FORD S.A.,1
"SAX S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",1
BANCO KOMATSU DO BRASIL S.A.,1
BBVA BRASIL BANCO DE INVESTIMENTO S.A.,1
FATOR (conglomerado),1
BANCO GUANABARA S.A.,1
BANCO CAPITAL S.A.,1
BANCO MIZUHO DO BRASIL S.A.,1
BANCO FATOR S.A.,1
BOCOM (conglomerado),1
NEON PAGAMENTOS S.A.,1
"GRAZZIOTIN FINANCIADORA S/A - CRÉDITO, FINANCIAMENTO E INVESTIMENTOS",1
ABN AMRO (conglomerado),1
BANCO CATERPILLAR S.A.,1
GREEN NET INSTITUIÇÃO DE PAGAMENTO LTDA,1
VERDE - ADMINISTRADORA DE CARTOES DE CREDITO S.A.,1
BANCO INDUSCRED DE INVESTIMENTO S.A.,1
CREDIT SUISSE (conglomerado),1
MAG INSTITUICAO DE PAGAMENTO LTDA,1
NACIONAL (conglomerado),1
STATE STREET BRASIL S.A. - BANCO COMERCIAL,1
U4CRYPTO INSTITUIÇÃO DE PAGAMENTO SA,1
WORLDPAY DO BRASIL INSTITUICAO DE PAGAMENTO LTDA,1
ACESSO SOLUÇÕES DE PAGAMENTO S.A. - INSTITUIÇÃO DE PAGAMENTO,1
ACG INSTITUIÇÃO DE PAGAMENTO S.A.,1
AFINZ (conglomerado),1
ASAAS (conglomerado),1
BANCO MONEO S.A.,1
CLOUDWALK INSTITUIÇÃO DE PAGAMENTO E SERVICOS LTDA,1
FISERV DO BRASIL  INSTITUIÇÃO DE PAGAMENTO LTDA,1
FITBANK INSTITUIÇÃO DE PAGAMENTOS ELETRÔNICOS S.A.,1
STARA FINANCEIRA S.A. - CRÉDITO FINANCIAMENTO E INVESTIMENTO,1
STRIPE BRASIL SOLUCOES DE PAGAMENTO INSTITUICAO DE PAGAMENTO LTDA,1
U4C INSTITUIÇÃO DE PAGAMENTO S.A.,1
