employer_website,employer_headquarters,employer_founded,employer_industry,employer_revenue,general_score,culture_values_score,diversity_inclusion_score,life_quality_score,senior_leadership_score,compensation_benefits_score,career_opportunities_score,recommendation_score,company_positive_score,segment,financial_institution_name,cnpj,state_employer_headquarters,country_employer_headquarters,employer_founded_correct
http://www.caixa.gov.br,"BRASILIA, Brasil",,"/Explorar/melhores-serviços-bancários-e-de-crédito-empresas_II.9,40_IIND200048.htm",Desconhecida/não se aplica,4.4,3.8,4.2,3.7,3.5,4.3,3.9,86.0,72.0,S1,CAIXA ECONOMICA FEDERAL,,BRASILIA,Brasil,
http://www.ccb.com,"Pequim, China",,"/Explorar/melhores-serviços-bancários-e-de-crédito-empresas_II.9,40_IIND200048.htm",Mais de US$ 10 bilhões,3.4,3.0,3.0,3.4,2.9,3.5,2.8,54.0,42.0,,CHINA CONSTRUCTION BANK (BRASIL) BANCO MULTIPLO S/,07450604,Pequim,China,
http://www.ccb.com,"Pequim, China",,"/Explorar/melhores-serviços-bancários-e-de-crédito-empresas_II.9,40_IIND200048.htm",Mais de US$ 10 bilhões,3.4,3.0,2.9,3.4,2.9,3.5,2.8,54.0,42.0,S3,CHINA CONSTRUCTION BANK (BRASIL) BANCO MULTIPLO S/,,Pequim,China,
http://www.citigroup.com,"New York, Estados Unidos",1812.0,"/Explorar/melhores-gestão-de-ativos-e-investimentos-empresas_II.9,41_IIND200146.htm",Mais de US$ 10 bilhões,3.9,3.8,4.1,3.5,3.5,3.8,3.9,76.0,68.0,S2,CITIBANK,,New York,Estados Unidos,1812
http://www.credit-suisse.com,"Zurique, Suíça",1856.0,"/Explorar/melhores-gestão-de-ativos-e-investimentos-empresas_II.9,41_IIND200146.htm",Mais de US$ 10 bilhões,3.8,3.8,4.1,3.9,3.3,3.6,3.7,68.0,34.0,S2,CREDIT SUISSE,,Zurique,Suíça,1856
https://careers.db.com/,"Frankfurt am Main, Alemanha",1870.0,"/Explorar/melhores-serviços-bancários-e-de-crédito-empresas_II.9,40_IIND200048.htm",Mais de US$ 10 bilhões,3.9,3.8,4.0,3.8,3.5,3.6,3.7,78.0,70.0,S3,DEUTSCHE,,Frankfurt am Main,Alemanha,1870
http://www.goldmansachs.com,"New York, Estados Unidos",1869.0,"/Explorar/melhores-gestão-de-ativos-e-investimentos-empresas_II.9,41_IIND200146.htm",Mais de US$ 10 bilhões,3.9,3.7,4.0,2.9,3.5,3.8,4.0,72.0,63.0,S3,GOLDMAN SACHS,,New York,Estados Unidos,1869
http://www.ing.com/en.htm,"Amsterdão, Países Baixos",1900.0,"/Explorar/melhores-gestão-de-ativos-e-investimentos-empresas_II.9,41_IIND200146.htm",De US$ 5 a US$ 25 milhões,4.1,4.1,4.2,4.1,3.6,3.8,3.8,83.0,73.0,S3,ING,,Amsterdão,Países Baixos,1900
http://www.itau.com.br,"São Paulo, Brasil",1903.0,"/Explorar/melhores-serviços-bancários-e-de-crédito-empresas_II.9,40_IIND200048.htm",Mais de US$ 10 bilhões,4.5,4.3,4.4,3.9,4.0,4.6,4.2,91.0,82.0,S1,ITAU,,São Paulo,Brasil,1903
https://www.jpmorganchase.com/,"New York, Estados Unidos",1799.0,"/Explorar/melhores-serviços-bancários-e-de-crédito-empresas_II.9,40_IIND200048.htm",Mais de US$ 10 bilhões,4.0,4.0,4.2,3.6,3.6,3.9,4.0,80.0,76.0,S3,JP MORGAN CHASE,,New York,Estados Unidos,1799
https://www.mercedes-benz-mobility.com/de/karriere/,"Estugarda, Alemanha",1990.0,"/Explorar/melhores-serviços-bancários-e-de-crédito-empresas_II.9,40_IIND200048.htm",Mais de US$ 10 bilhões,4.1,4.1,4.0,4.4,3.7,4.0,3.6,87.0,51.0,,MERCEDES-BENZ,60814191,Estugarda,Alemanha,1990
https://www.mercedes-benz-mobility.com/de/karriere/,"Estugarda, Alemanha",1990.0,"/Explorar/melhores-serviços-bancários-e-de-crédito-empresas_II.9,40_IIND200048.htm",Mais de US$ 10 bilhões,4.1,4.1,4.0,4.4,3.8,4.0,3.6,86.0,56.0,S3,MERCEDES-BENZ,,Estugarda,Alemanha,1990
http://www.morganstanley.com,"New York, Estados Unidos",1935.0,"/Explorar/melhores-gestão-de-ativos-e-investimentos-empresas_II.9,41_IIND200146.htm",Mais de US$ 10 bilhões,4.0,4.0,4.1,3.6,3.7,3.7,3.9,81.0,76.0,S3,MORGAN STANLEY,,New York,Estados Unidos,1935
http://www.original.com.br,"São Paulo, Brasil",2016.0,"/Explorar/melhores-serviços-bancários-e-de-crédito-empresas_II.9,40_IIND200048.htm",Desconhecida/não se aplica,3.8,3.4,3.5,3.4,3.1,4.0,3.3,71.0,53.0,S3,ORIGINAL,,São Paulo,Brasil,2016
http://www.bancopan.com.br,"São Paulo, Brasil",2011.0,"/Explorar/melhores-serviços-bancários-e-de-crédito-empresas_II.9,40_IIND200048.htm",Desconhecida/não se aplica,4.4,4.2,4.4,3.9,3.9,4.6,4.0,91.0,79.0,S3,PAN,,São Paulo,Brasil,2011
http://www.pine.com,"São Paulo, Brasil",1997.0,"/Explorar/melhores-serviços-bancários-e-de-crédito-empresas_II.9,40_IIND200048.htm",Desconhecida/não se aplica,3.8,3.5,3.5,3.4,3.0,3.9,3.5,71.0,50.0,S3,PINE,,São Paulo,Brasil,1997
http://www.alfanet.com.br,"São Paulo, Brasil",1925.0,"/Explorar/melhores-serviços-bancários-e-de-crédito-empresas_II.9,40_IIND200048.htm",Desconhecida/não se aplica,3.5,3.2,3.2,3.1,2.8,3.8,2.7,68.0,47.0,,SAFRA,58160789,São Paulo,Brasil,1925
http://www.santandercareers.com,"Madrid, Espanha",1856.0,"/Explorar/melhores-serviços-bancários-e-de-crédito-empresas_II.9,40_IIND200048.htm",Mais de US$ 10 bilhões,3.9,3.7,4.0,3.4,3.4,4.0,3.8,75.0,65.0,S1,SANTANDER,,Madrid,Espanha,1856
http://www.sicredi.com.br,"Porto Alegre, Brasil",1903.0,"/Explorar/melhores-serviços-bancários-e-de-crédito-empresas_II.9,40_IIND200048.htm",Mais de US$ 10 bilhões,4.4,4.4,4.2,4.3,3.9,4.1,4.1,89.0,80.0,S3,SICREDI,,Porto Alegre,Brasil,1903
http://www.societegenerale.com,"Paris, França",1864.0,"/Explorar/melhores-gestão-de-ativos-e-investimentos-empresas_II.9,41_IIND200146.htm",Mais de US$ 10 bilhões,3.7,3.7,3.9,3.9,3.3,3.3,3.5,75.0,55.0,S3,SOCIETE GENERALE,,Paris,França,1864
http://www.bancobv.com.br,"São Paulo, Brasil",1991.0,"/Explorar/melhores-gestão-de-ativos-e-investimentos-empresas_II.9,41_IIND200146.htm",Desconhecida/não se aplica,4.4,4.3,4.4,4.1,3.9,4.6,3.9,93.0,79.0,S2,VOTORANTIM,,São Paulo,Brasil,1991
