2021,1º,Grupo Secundário,Banco/financeira,57839805,BANCO TRICURY S.A., ,0,1,1,2,685,666,149,57839805,S4,BANCO TRICURY S.A. - PRUDENCIAL
2021,1º,Grupo Secundário,Conglomerado,0000000 ,BANCOOB (conglomerado), ,19,31,18,68,4576738,2242360,2872105,,,
2021,1º,Grupo Secundário,Conglomerado,0000000 ,BANESTES (conglomerado), ,21,22,5,48,1232727,1181686,473114,,,
2021,1º,Grupo Secundário,Conglomerado,0000000 ,BANRISUL (conglomerado),24,99,127,349,60,536,5080031,3756328,,,
2021,1º,Grupo Secundário,Conglomerado,0000000 ,BARIGUI (conglomerado), ,7,15,26,48,42559,15683,29761,,,
2021,1º,Top 10,Conglomerado,0000000 ,BB (conglomerado),21,25,1463,2782,2225,6470,68844801,65031349,,,
2021,1º,Grupo Secundário,Conglomerado,0000000 ,BMG (conglomerado),165,20,1190,644,251,2085,7202992,3421046,,,
2021,1º,Grupo Secundário,Conglomerado,0000000 ,BNP PARIBAS (conglomerado),181,98,447,250,90,787,2456247,12581,,,
2021,1º,Grupo Secundário,Conglomerado,0000000 ,BNY MELLON (conglomerado), ,0,0,1,1,3744,3744, ,,,
2021,1º,Top 10,Conglomerado,0000000 ,BRADESCO (conglomerado),22,78,2248,3913,2591,8752,98648524,89718703,,,
2021,1º,Grupo Secundário,Conglomerado,0000000 ,BRB (conglomerado),107,93,120,149,140,409,1111807,999840,,,
2021,1º,Grupo Secundário,Conglomerado,0000000 ,BTG PACTUAL (conglomerado), ,29,44,60,133,766998,679113,147461,,,
2021,1º,Grupo Secundário,Conglomerado,0000000 ,C6 BANK (conglomerado),979,53,5940,598,207,6745,6064085,5139889,,,
2021,1º,Top 10,Conglomerado,0000000 ,CAIXA ECONÔMICA FEDERAL (conglomerado),36,20,5263,6341,4920,16524,145367310,143826538,,,
2021,1º,Grupo Secundário,Banco/financeira,09313766,CARUANA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO, ,1,2,1,4,71736,65584,09313766,S4,CARUANA SCFI
2021,1º,Grupo Secundário,Conglomerado,0000000 ,CCB (conglomerado), ,10,126,15,151,224649,3762,221472,,,
2021,1º,Grupo Secundário,Conglomerado,0000000 ,CITIBANK (conglomerado), ,1,11,2,14,17612,16889,1620,,,
2021,1º,Grupo Secundário,Conglomerado,0000000 ,COLOMBO (conglomerado), ,0,3,1,4,331101, ,331101,,,
2021,1º,Grupo Secundário,Conglomerado,0000000 ,CREFISA (conglomerado), ,25,184,52,261,2255383,1184391,1562138,,,
2021,1º,Grupo Secundário,Conglomerado,0000000 ,DAYCOVAL (conglomerado),274,48,331,400,113,844,1205882,138048,,,
2021,1º,Grupo Secundário,Banco/financeira,62331228,DEUTSCHE BANK S.A. - BANCO ALEMAO, ,0,1,0,1,2112,2093,164,62331228,S3,DEUTSCHE - PRUDENCIAL
2021,1º,Grupo Secundário,Banco/financeira,15581638,FACTA FINANCEIRA S.A. - CRÉDITO FINANCIAMENTO E INVESTIMENTO,620,55,70,151,3,224,112802,664,15581638,S4,FACTA S.A. CFI
2021,1º,Grupo Secundário,Banco/financeira,00411939,FINAMAX S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO, ,0,2,3,5,87041,1715,00411939,S4,FINAMAX S.A. CFI
2021,1º,Grupo Secundário,Conglomerado,0000000 ,FINAXIS (conglomerado), ,0,1,0,1,4066,4066, ,,,
2021,1º,Grupo Secundário,Conglomerado,0000000 ,GENIAL (conglomerado), ,5,3,2,10,16008,16003,35,,,
2021,1º,Grupo Secundário,Conglomerado,0000000 ,GM (conglomerado), ,5,14,23,42,309105,473,308711,,,
2021,1º,Grupo Secundário,Conglomerado,0000000 ,GRUPO BONSUCESSO - BS2 (conglomerado),105,42,82,162,83,327,777801,771754,,,
2021,1º,Grupo Secundário,Conglomerado,0000000 ,GRUPO ZEMA (conglomerado), ,1,4,4,9,439232,570,438672,,,
2021,1º,Grupo Secundário,Conglomerado,0000000 ,HERVAL - HS (conglomerado), ,3,7,0,10,213321,13314,202222,,,
2021,1º,Grupo Secundário,Conglomerado,0000000 ,HONDA (conglomerado), ,0,3,6,9,443975,101,443942,,,
2021,1º,Grupo Secundário,Conglomerado,0000000 ,INDUSTRIAL DO BRASIL (conglomerado), ,17,22,7,46,65443,4487,61782,,,
2021,1º,Grupo Secundário,Conglomerado,0000000 ,INDUSVAL (conglomerado), ,1,0,3,4,5298,4796,785,,,
2021,1º,Top 10,Conglomerado,0000000 ,INTER (conglomerado),129,26,1245,582,362,2189,9631304,9500388,,,
2021,1º,Top 10,Conglomerado,0000000 ,ITAU (conglomerado),19,72,1636,3086,2156,6878,82955510,63980098,,,
2021,1º,Grupo Secundário,Banco/financeira,04230630,JBCRED S.A. SOCIEDADE DE CREDITO, FINANCIAMENTO E INVESTIMENTO, ,2,2,3,7,49879, ,04230630,S5,JBCRED S.A. SCME
